class,feature,coef_std,coef_raw,abs_coef_std
Slight,Day_of_week,0.0,0.0,0.0
Slight,Sex_of_driver,0.0,0.0,0.0
Slight,Vehicle_driver_relation,0.0,0.0,0.0
Slight,Type_of_vehicle,0.0,0.0,0.0
Slight,Owner_of_vehicle,0.0,0.0,0.0
Slight,Area_accident_occured,0.0,0.0,0.0
Slight,Lanes_or_Medians,0.0,0.0,0.0
Slight,Road_allignment,0.0,0.0,0.0
Slight,Types_of_Junction,0.0,0.0,0.0
Slight,Road_surface_type,0.0,0.0,0.0
Slight,Road_surface_conditions,0.0,0.0,0.0
Slight,Light_conditions,0.0,0.0,0.0
Slight,Weather_conditions,0.01703592948615551,0.018398440389464997,0.01703592948615551
Slight,Type_of_collision,0.0,0.0,0.0
Slight,Vehicle_movement,0.0,0.0,0.0
Slight,Cause_of_accident,0.0,0.0,0.0
Slight,TimeOfDay,0.0,0.0,0.0
Slight,Number_of_vehicles_involved,0.18843567371368408,0.3000825219394266,0.18843567371368408
Slight,Number_of_casualties,0.0,0.0,0.0
Slight,Hour,0.0,0.0,0.0
Slight,RushHour,0.0,0.0,0.0
Slight,IsWeekend,0.0,0.0,0.0
Slight,Age_band_of_driver_ord,0.0,0.0,0.0
Slight,Driving_experience_ord,0.0,0.0,0.0
Slight,Service_year_of_vehicle_ord,0.0,0.0,0.0
Slight,Educational_level_ord,0.0,0.0,0.0
Serious,Day_of_week,0.0,0.0,0.0
Serious,Sex_of_driver,0.0,0.0,0.0
Serious,Vehicle_driver_relation,-0.010396683588624,-0.01222247358995911,0.010396683588624
Serious,Type_of_vehicle,0.0,0.0,0.0
Serious,Owner_of_vehicle,0.0,0.0,0.0
Serious,Area_accident_occured,0.0,0.0,0.0
Serious,Lanes_or_Medians,0.0,0.0,0.0
Serious,Road_allignment,0.0,0.0,0.0
Serious,Types_of_Junction,0.0,0.0,0.0
Serious,Road_surface_type,0.0,0.0,0.0
Serious,Road_surface_conditions,0.0,0.0,0.0
Serious,Light_conditions,0.0,0.0,0.0
Serious,Weather_conditions,0.0,0.0,0.0
Serious,Type_of_collision,0.0,0.0,0.0
Serious,Vehicle_movement,0.0,0.0,0.0
Serious,Cause_of_accident,0.0,0.0,0.0
Serious,TimeOfDay,0.0,0.0,0.0
Serious,Number_of_vehicles_involved,0.0,0.0,0.0
Serious,Number_of_casualties,0.0,0.0,0.0
Serious,Hour,0.0,0.0,0.0
Serious,RushHour,0.0,0.0,0.0
Serious,IsWeekend,0.0,0.0,0.0
Serious,Age_band_of_driver_ord,0.0,0.0,0.0
Serious,Driving_experience_ord,0.0,0.0,0.0
Serious,Service_year_of_vehicle_ord,0.0,0.0,0.0
Serious,Educational_level_ord,0.0,0.0,0.0
Fatal,Day_of_week,0.0,0.0,0.0
Fatal,Sex_of_driver,0.0,0.0,0.0
Fatal,Vehicle_driver_relation,0.015882356092333794,0.018671500024996717,0.015882356092333794
Fatal,Type_of_vehicle,0.0,0.0,0.0
Fatal,Owner_of_vehicle,0.0,0.0,0.0
Fatal,Area_accident_occured,0.1424816995859146,0.06262178002068178,0.1424816995859146
Fatal,Lanes_or_Medians,0.02447889931499958,0.016576526711334843,0.02447889931499958
Fatal,Road_allignment,0.0,0.0,0.0
Fatal,Types_of_Junction,0.0,0.0,0.0
Fatal,Road_surface_type,0.0,0.0,0.0
Fatal,Road_surface_conditions,0.0,0.0,0.0
Fatal,Light_conditions,-0.020749932155013084,-0.016329816133971716,0.020749932155013084
Fatal,Weather_conditions,-0.012357382103800774,-0.013345709031690032,0.012357382103800774
Fatal,Type_of_collision,0.0,0.0,0.0
Fatal,Vehicle_movement,0.0,0.0,0.0
Fatal,Cause_of_accident,0.0,0.0,0.0
Fatal,TimeOfDay,0.0,0.0,0.0
Fatal,Number_of_vehicles_involved,-0.2607336640357971,-0.4152165771819421,0.2607336640357971
Fatal,Number_of_casualties,0.6745527982711792,0.6006766925443053,0.6745527982711792
Fatal,Hour,0.0,0.0,0.0
Fatal,RushHour,0.0,0.0,0.0
Fatal,IsWeekend,0.16518378257751465,0.3893513285340278,0.16518378257751465
Fatal,Age_band_of_driver_ord,0.14202557504177094,0.14438329950912823,0.14202557504177094
Fatal,Driving_experience_ord,0.0,0.0,0.0
Fatal,Service_year_of_vehicle_ord,0.0,0.0,0.0
Fatal,Educational_level_ord,0.0,0.0,0.0
